epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.415,0.31194,3.21177,0.98342,0.3785,0.33337,0.28823,0.28356,0.22332,2.26713,0.51568,0.000195258,0.000195258,0.000195258
2,63.1925,0.2391,2.35225,0.94038,0.42576,0.63678,0.59853,0.58839,0.26569,1.67651,0.51796,0.000383511,0.000383511,0.000383511
3,91.8183,0.2193,1.96062,0.91828,0.65021,0.66702,0.76436,0.75209,0.17697,1.42514,0.47842,0.000564002,0.000564002,0.000564002
4,119.577,0.20228,1.74814,0.90269,0.75055,0.71695,0.79668,0.78768,0.18233,1.49996,0.47893,0.000553073,0.000553073,0.000553073
5,145.525,0.18077,1.631,0.89503,0.59106,0.76918,0.75924,0.75764,0.16324,1.29471,0.45968,0.00054143,0.00054143,0.00054143
6,172.249,0.16719,1.43248,0.89478,0.86498,0.82428,0.91844,0.91353,0.18612,0.77648,0.49025,0.000529788,0.000529788,0.000529788
7,197.874,0.17042,1.34278,0.88673,0.84671,0.87021,0.93207,0.92615,0.15371,0.75253,0.46101,0.000518146,0.000518146,0.000518146
8,224.382,0.16031,1.26739,0.88361,0.89875,0.93174,0.97004,0.96804,0.14836,0.5711,0.45647,0.000506503,0.000506503,0.000506503
9,250.635,0.14357,1.16792,0.87717,0.91798,0.94172,0.98637,0.98369,0.15915,0.57145,0.45038,0.000494861,0.000494861,0.000494861
10,276.725,0.13875,1.12911,0.87962,0.91719,0.92833,0.97745,0.96865,0.13058,0.50643,0.445,0.000483218,0.000483218,0.000483218
11,303.16,0.13116,1.09567,0.87938,0.91366,0.90782,0.96643,0.96246,0.13765,0.50949,0.43842,0.000471576,0.000471576,0.000471576
12,329.07,0.13667,1.01099,0.87676,0.97357,0.96677,0.98978,0.98785,0.1222,0.37289,0.42939,0.000459934,0.000459934,0.000459934
13,354.756,0.12976,0.97288,0.86816,0.95283,0.95797,0.97662,0.96983,0.14391,0.36124,0.44008,0.000448291,0.000448291,0.000448291
14,378.827,0.1222,0.94797,0.87073,0.95397,0.96298,0.98997,0.98684,0.12128,0.37063,0.43151,0.000436649,0.000436649,0.000436649
15,403.612,0.11977,0.93987,0.87212,0.9723,0.96909,0.99182,0.99182,0.13608,0.34515,0.44038,0.000425006,0.000425006,0.000425006
16,430.399,0.12045,0.87911,0.87256,0.9708,0.98013,0.99307,0.99185,0.12887,0.30814,0.43808,0.000413364,0.000413364,0.000413364
17,453.054,0.11891,0.81318,0.86095,0.98318,0.98171,0.99401,0.99188,0.11713,0.30322,0.42794,0.000401722,0.000401722,0.000401722
18,475.576,0.11291,0.81629,0.86422,0.97046,0.97789,0.99362,0.99362,0.13126,0.30645,0.43942,0.000390079,0.000390079,0.000390079
19,498.096,0.11331,0.81165,0.86868,0.98709,0.98267,0.99394,0.99394,0.12347,0.27587,0.42165,0.000378437,0.000378437,0.000378437
20,521.773,0.1039,0.74274,0.86898,0.96465,0.97453,0.99299,0.99233,0.12833,0.30599,0.4307,0.000366794,0.000366794,0.000366794
